note,type,num,fing
B,7,4,764445
B,6,1,764444
B,6,2,x21102
B,6,3,x24404
B,6,4,x24104
B,6,5,76687x
B,maj9,1,768676
B,maj9,2,744446
B,maj9,3,744447
B,maj9,4,744646
B,9,1,797879
B,9,2,744445
B,9,3,744645
B,9,4,747445
B,13,1,777897
B,13,2,x22244
B,13,3,747444
B,13,4,746445
B,13,5,777444
B,maj13,1,766676
B,maj13,2,778897
B,maj13,3,x22344
B,maj13,4,746446
B,maj13,5,766996
B,aug,1,x21003
B,aug,2,xx9887
B,7#5,1,x21203
B,7#5,2,7x7887
B,7#5,3,x2x243
B,maj7#5,1,x21303
B,maj7#5,2,xx9886
B,aug,61,x21004
B,aug,62,x21103
B,aug,63,765444
B,aug,64,76688x
B,6/9,1,766677
B,6/9,2,744444
B,6/9,3,744644
B,6/9,4,x21122
B,6/9,5,744474
B,6/9,6,x24424
B,11,1,777877
B,11,2,x22242
B,11,3,x21200
B,11,4,x24240
B,11,5,x21220
B,11,6,774445
B,6/11,1,774444
B,6/11,2,x21100
B,6/11,3,779897
B,6/11,4,x24140
B,6/11,5,764454
B,6/11,6,x22444
B,6/11,7,xx9991
B,6/11,8,x22140
B,6/9b5,1,744464
B,6/9b5,2,x23422
B,6/9b5,3,796667
B,6/9b5,4,796669
B,6/9b5,5,x24121
B,6/9b5,6,78667x
B,9b5,1,767667
B,9b5,2,x21221
B,maj9b5,1,768666
B,maj9b5,2,x21321
B,maj9b5,3,76x667
B,maj9b5,4,769667
B,13b5,1,787897
B,13b5,2,x23244
B,6/11b5,1,779877
B,6/11b5,2,x22422
B,6/11b5,3,x24100
B,6/11b5,4,779979
B,6/11b5,5,789977
B,6/11b5,6,774444
B,6/11b5,7,x22102
B,6/11b5,8,x24120
B,6/11b5,9,779877
B,6/11b5,10,x22422
B,6/11b5,11,x24100
B,6/11b5,12,779979
B,6/11b5,13,789977
B,6/11b5,14,774444
B,6/11b5,15,x22102
B,6/11b5,16,x24120
B,9/11,1,777877
B,9/11,2,x22242
B,9/11,3,x21200
B,9/11,4,x24240
B,9/11,5,x21220
B,9/11,6,774445
B,9/13,1,777897
B,9/13,2,x22244
B,9/13,3,747444
B,9/13,4,746445
B,9/13,5,777444
B,9/13b5,1,787897
B,9/13b5,2,x23244
B,11/13,1,777897
B,11/13,2,x22244
B,11/13,3,747444
B,11/13,4,746445
B,11/13,5,777444
B,6b5,1,766867
B,6b5,2,x21101
B,6b5,3,764464
B,7b5,1,x21201
B,7b5,2,x23245
B,7b5,3,76786x
B,maj7b5,1,768866
B,maj7b5,2,x21301
B,(b5),1,x21401
B,(b5),2,xx9867
B,(b5),3,xxx441
B,aug/69,1,766687
B,aug/69,2,745444
B,aug/69,3,x21024
B,aug/69,4,x21123
B,aug/69,5,745644
B,9#5,1,745445
B,9#5,2,76768x
B,m,1,799777
B,m,2,x20402
B,m,3,x24432
B,m7,1,797777
B,m7,2,x20202
B,m7,3,x24232
B,m7,4,x24432
B,m7,5,xx9777
B,m7,6,79977x
B,m7,7,x20432
B,m6,1,x20102
B,m6,2,799797
B,m6,3,754474
B,m9,1,797779
B,m9,2,x20222
B,dim,1,x20401
B,dim,2,7897x7
B,dim,3,xx9767
B,dim,4,xxx431
B,dim7,1,x20101
B,dim7,2,789797
B,dim7,3,x23131
B,dim7,4,78676x
B,m6#5,1,x20004
B,m6#5,2,x20103
B,m6#5,3,x20133
B,m7#5,1,x20203
B,m7#5,2,755785
B,m7#5,3,x2x233
B,m11,1,777777
B,m11,2,x22232
B,m11,3,x20220
B,m11,4,757655
B,m11,5,x20200
B,m11,6,x20230
B,m11,7,777971
B,m11#5,1,755655
B,m11#5,2,777789
B,m11#5,3,x20223
B,dim6,1,x20101
B,dim6,2,789797
B,dim6,3,x23131
B,dim6,4,78676x
B,dim9,1,x20121
B,m13,1,777797
B,m13,2,x22234
B,m13,3,756655
B,m13,4,756755
B,m13,5,797799
B,m13,6,x20224
B,m13,7,x20204
B,m6/9,1,x20122
B,m6/9,2,x20424
B,m6/9,3,744774
B,m6/11,1,x20120
B,m6/11,2,779797
B,m6/11,3,x24130
B,m6/11,4,754454
B,m6/11,5,77x799
B,m6/11,6,x22130
B,m6/11,7,x22434
B,m6/11,8,744754
B,m6/11,9,xx9991
B,m9#5,1,x20223
B,m9#5,2,755685
B,m9#5,3,7x7789
B,m11/13,1,777797
B,m11/13,2,x22234
B,m11/13,3,756655
B,m11/13,4,756755
B,m11/13,5,797799
B,m11/13,6,x20224
B,m11/13,7,x20204
B,m9/11,1,777777
B,m9/11,2,x22232
B,m9/11,3,x20220
B,m9/11,4,757655
B,m9/11,5,x20200
B,m9/11,6,x20230
B,m9/11,7,777971
B,m9/13,1,777797
B,m9/13,2,x22234
B,m9/13,3,756655
B,m9/13,4,756755
B,m9/13,5,797799
B,m9/13,6,x20224
B,m9/13,7,x20204
B,dim11,1,x23130
B,dim11,2,x22131
B,dim13,1,x23130
B,dim13,2,x22131
B,dim6/9,1,x20121
B,9sus,1,x24222
B,9sus,2,797x79
B,9sus,3,744475
B,1sus,1,777977
B,1sus,2,x24200
B,1sus,3,x22202
B,1sus,4,79797x
B,1sus,5,x22252
B,1sus,6,x24252
B,6/9sus,1,x24422
B,6/9sus,2,744474
B,6/9sus,3,x24x24
B,6b5sus,1,x23101
B,6b5sus,2,x23404
B,6b5sus,3,xxx464
B7,b5sus,1,x23201
B,9b5sus,1,x23222
B,9b5sus,2,x24201
B,9b5sus,3,744465
B,9b5sus,4,787x79
B,9#5sus,1,x25223
C,maj,1,x32000
C,maj,2,x35453
C,maj,3,x32403
C,maj,4,x32410
C,maj,5,875557
C,maj7,1,x32000
C,maj7,2,x35453
C,maj7,3,x32403
C,maj7,4,x32410
C,maj7,5,875557
C,7,1,x35353
C,7,2,x32310
C,7,3,875556
C,6,1,875555
C,6,2,x32210
C,6,3,87798x
C,maj9,1,x30000
C,maj9,2,879787
C,maj9,3,855557
C,maj9,4,x30410
C,maj9,5,x30430
C,maj9,6,x32430
C,maj9,7,855757
C,9,1,855556
C,9,2,x30310
C,9,3,x32330
C,9,4,855756
C,9,5,858556
C,13,1,x33355
C,13,2,858555
C,13,3,857556
C,13,4,888555
C,maj13,1,877787
C,maj13,2,x30200
C,maj13,3,x32201
C,maj13,4,x33455
C,maj13,5,x32203
C,maj13,6,857557
C,aug,1,x32110
C,7#5,1,8x8998
C,maj7#5,1,x32100
C,maj7#5,2,x32404
C,aug,61,876555
C,aug,62,87799x
C,6/9,1,877788
C,6/9,2,x30230
C,6/9,3,855555
C,6/9,4,855755
C,6/9,5,857555
C,6/9,6,x32233
C,11,1,888988
C,11,2,x33353
C,11,3,x33330
C,11,4,885556
C,11,5,x33310
C,11,6,x32311
C,6/11,1,x33030
C,6/11,2,855565
C,6/11,3,x30011
C,6/11,4,x33533
C,6/11,5,x30031
C,6/11,6,885755
C,6/11,7,855765
C,6/9b5,1,x34030
C,6/9b5,2,855575
C,6/9b5,3,x30012
C,6/9b5,4,x34533
C,6/9b5,5,x30032
C,6/9b5,6,89778x
C,9b5,1,878778
C,9b5,2,x34330
C,9b5,3,x32332
C,maj9b5,1,879777
C,maj9b5,2,x34430
C,maj9b5,3,x32432
C,13b5,1,x33355
C,13b5,2,878778
C,13b5,3,x30330
C,13b5,4,x30310
C,13b5,5,858555
C,13b5,6,x33310
C,13b5,7,878555
C,13b5,8,xxx556
C,9/11,1,888988
C,9/11,2,x33353
C,9/11,3,x33330
C,9/11,4,885556
C,9/11,5,x33310
C,9/11,6,x32311
C,9/13,1,x33355
C,9/13,2,858555
C,9/13,3,857556
C,9/13,4,888555
C,9/13b5,1,x33355
C,9/13b5,2,878778
C,9/13b5,3,x30330
C,9/13b5,4,x30310
C,9/13b5,5,858555
C,9/13b5,6,x33310
C,9/13b5,7,878555
C,9/13b5,8,xxx556
C,11/13,1,x33355
C,11/13,2,858555
C,11/13,3,857556
C,11/13,4,888555
C,6b5,1,877978
C,6b5,2,x34210
C,6b5,3,875575
C,6b5,4,x32252
C,7b5,1,x34310
C,7b5,2,x32352
C,7b5,3,x34356
C,7b5,4,87897x
C,maj7b5,1,x34400
C,maj7b5,2,879977
C,maj7b5,3,x32402
C,maj7b5,4,x32452
C,(b5),1,x34x10
C,(b5),2,xxx552
C,aug/69,1,877798
C,aug/69,2,x30130
C,aug/69,3,856555
C,aug/69,4,x32234
C,aug/69,5,856755
C,aug/69,6,856558
C,9#5,1,856556
C,9#5,2,87879x
C,m,1,x31013
C,m,2,x35543
C,m,3,x31013
C,m,4,x35543
C,m7,1,x35343
C,m7,2,x31313
C,m7,3,x35343
C,m7,4,x31313
C,m6,1,x31213
C,m6,2,865585
C,m6,3,x31213
C,m6,4,865585
C,m9,1,x30343
C,m9,2,x30343
C,dim,1,x31x12
C,dim,2,xxx542
C,dim7,1,x31212
C,dim7,2,x34242
C,dim7,3,89787x
C,m7#5,1,866896
C,m7#5,2,x31114
C,m7#5,3,866896
C,m7#5,4,x31114
C,m11,1,888888
C,m11,2,x33343
C,m11,3,868766
C,m11,4,x31311
C,m11,5,x31331
C,m11,6,x30341
C,m11,7,888888
C,m11,8,x33343
C,m11,9,868766
C,m11,10,x31311
C,m11,11,x31331
C,m11,12,x30341
C,m11#5,1,866766
C,m11#5,2,888891
C,m11#5,3,x30344
C,m11#5,4,866766
C,m11#5,5,888891
C,m11#5,6,x30344
C,dim6,1,x31212
C,dim6,2,x34242
C,dim6,3,89787x
C,dim9,1,x30242
C,m13,1,x30243
C,m13,2,855865
C,m13,3,x30243
C,m13,4,855865
C,m6/9,1,x30243
C,m6/9,2,855885
C,m6/9,3,x30243
C,m6/9,4,855885
C,m6/11,1,x31211
C,m6/11,2,x30241
C,m6/11,3,865565
C,m6/11,4,x33545
C,m6/11,5,855865
C,m6/11,6,x31211
C,m6/11,7,x30241
C,m6/11,8,865565
C,m6/11,9,x33545
C,m6/11,10,855865
C,m9#5,1,x30344
C,m9#5,2,866796
C,m9#5,3,8x8891
C,m9#5,4,x30344
C,m9#5,5,866796
C,m9#5,6,8x8891
C,m11/13,1,x30243
C,m11/13,2,855865
C,m11/13,3,x30243
C,m11/13,4,855865
C,m9/11,1,888888
C,m9/11,2,x33343
C,m9/11,3,868766
C,m9/11,4,x31311
C,m9/11,5,x31331
C,m9/11,6,x30341
C,m9/11,7,888888
C,m9/11,8,x33343
C,m9/11,9,868766
C,m9/11,10,x31311
C,m9/11,11,x31331
C,m9/11,12,x30341
C,m9/13,1,x30243
C,m9/13,2,855865
C,m9/13,3,x30243
C,m9/13,4,855865
C,dim11,1,x33242
C,dim13,1,x33242
C,dim6/9,1,x30242
C,9sus,1,x35333
C,9sus,2,x30313
C,9sus,3,855586
C,1sus,1,x33311
C,1sus,2,x33363
C,1sus,3,x35363
C,1sus,4,x33366
C,6/9sus,1,855585
C,6/9sus,2,x30233
C,6/9sus,3,x35535
C,6b5sus,1,x342x2
C,6b5sus,2,xxx575
C,9b5sus,1,x34333
C,9b5sus,2,855576
C,9b5sus,3,898x81
C,9#5sus,1,x30334
C,9#5sus,2,x36336
C#,maj,1,x46564
C#,maj,2,x43111
C#,maj,3,986668
C#,maj7,1,x46564
C#,maj7,2,x43111
C#,maj7,3,986668
C#,7,1,x46464
C#,7,2,x43101
C#,7,3,x43104
C#,7,4,x43404
C#,7,5,986667
C#,6,1,986666
C#,maj9,1,966668
C#,maj9,2,x41111
C#,maj9,3,966868
C#,9,1,966667
C#,9,2,x41101
C#,9,3,966867
C#,9,4,969667
C#,13,1,x44466
C#,13,2,969666
C#,13,3,x44301
C#,13,4,x43302
C#,13,5,x41301
C#,13,6,968667
C#,13,7,999666
C#,maj13,1,988898
C#,maj13,2,x44566
C#,maj13,3,x41311
C#,maj13,4,968668
C#,maj13,5,x44311
C#,aug,1,x4322x
C#,7#5,1,x43201
C#,maj7#5,1,x43211
C#,aug,61,987666
C#,6/9,1,988899
C#,6/9,2,966666
C#,6/9,3,966866
C#,6/9,4,968666
C#,6/9,5,x43344
C#,11,1,x44464
C#,11,2,x43102
C#,11,3,x44101
C#,11,4,996667
C#,11,5,x44401
C#,6/11,1,996666
C#,6/11,2,986676
C#,6/11,3,x43322
C#,6/11,4,x44666
C#,6/9b5,1,988899
C#,6/9b5,2,966666
C#,6/9b5,3,966866
C#,6/9b5,4,x43344
C#,6/9b5,5,986866
C#,9b5,1,x41001
C#,9b5,2,989889
C#,9b5,3,x43443
C#,maj9b5,1,x41011
C#,maj9b5,2,x43543
C#,13b5,1,988889
C#,13b5,2,x41001
C#,13b5,3,x44001
C#,13b5,4,x43002
C#,13b5,5,x43343
C#,13b5,6,98988x
C#,6/11b5,1,996866
C#,6/11b5,2,996866
C#,9/11,1,x44464
C#,9/11,2,x43102
C#,9/11,3,x44101
C#,9/11,4,996667
C#,9/11,5,x44401
C#,9/13,1,x44466
C#,9/13,2,969666
C#,9/13,3,x44301
C#,9/13,4,x43302
C#,9/13,5,x41301
C#,9/13,6,968667
C#,9/13,7,999666
C#,9/13b5,1,988889
C#,9/13b5,2,x41001
C#,9/13b5,3,x44001
C#,9/13b5,4,x43002
C#,9/13b5,5,x43343
C#,9/13b5,6,98988x
C#,11/13,1,x44466
C#,11/13,2,969666
C#,11/13,3,x44301
C#,11/13,4,x43302
C#,11/13,5,x41301
C#,11/13,6,968667
C#,11/13,7,999666
C#,6b5,1,986686
C#,7b5,1,x43001
C#,7b5,2,x43403
C#,7b5,3,x43463
C#,7b5,4,x45467
C#,maj7b5,1,x43013
C#,maj7b5,2,x43563
C#,(b5),1,x43023
C#,(b5),2,x430x1
C#,(b5),3,x4x021
C#,aug/69,1,967666
C#,aug/69,2,x43345
C#,aug/69,3,967866
C#,9#5,1,x41201
C#,9#5,2,967667
C#,dim,1,x42020
C#,dim,2,x42x23
C#,dim7,1,x42323
C#,dim7,2,x45353
C#,dim6,1,x42323
C#,dim6,2,x45353
C#,dim11,1,x44353
C#,dim13,1,x44353
C#,9sus,1,x46444
C#,9sus,2,x41104
C#,9sus,3,x41404
C#,9sus,4,966697
C#,11sus,1,x44102
